"epoch","Group: Unmasked - train/distill_loss","Group: Unmasked - train/distill_loss__MIN","Group: Unmasked - train/distill_loss__MAX","Group: Unmasked - _step","Group: Unmasked - _step__MIN","Group: Unmasked - _step__MAX","Group: Masked - train/distill_loss","Group: Masked - train/distill_loss__MIN","Group: Masked - train/distill_loss__MAX","Group: Masked - _step","Group: Masked - _step__MIN","Group: Masked - _step__MAX"
"0","1.008174979686737","0.9916629791259766","1.0324461460113525","1","1","1","1.0080214262008667","0.9919269680976868","1.031538486480713","1","1","1"
"1","0.5776039719581604","0.5488346219062805","0.6154423952102661","3","3","3","0.5805871486663818","0.5514732003211975","0.6184729337692261","3","3","3"
"2","0.07866232693195344","0.06521904468536377","0.08699032664299011","5","5","5","0.08683884590864181","0.07289490848779678","0.09597832709550858","5","5","5"
"3","0.02578379325568676","0.025445418432354927","0.026016943156719208","7","7","7","0.028070842474699022","0.02739945985376835","0.028355672955513","7","7","7"
"4","0.025206686183810233","0.02491951920092106","0.025400683283805847","9","9","9","0.026337731257081033","0.02591595984995365","0.026462044566869736","9","9","9"
"5","0.02456926107406616","0.023724472150206566","0.024977337568998337","11","11","11","0.02521350234746933","0.024614660069346428","0.025454649701714516","11","11","11"
"6","0.02266162969172001","0.022074520587921143","0.023265542462468147","13","13","13","0.023766334727406503","0.022828083485364914","0.024108894169330597","13","13","13"
"7","0.020636362582445146","0.01930919475853443","0.021552933380007744","15","15","15","0.021912171319127084","0.02087162621319294","0.022521881386637688","15","15","15"
"8","0.018578103557229043","0.01786259561777115","0.01968742161989212","17","17","17","0.020252320915460587","0.019386915490031242","0.020989418029785156","17","17","17"
"9","0.017078584432601927","0.016155969351530075","0.018127312883734703","19","19","19","0.01908630207180977","0.018527572974562645","0.019848953932523727","19","19","19"
"10","0.015728979371488094","0.014981864020228386","0.01671513170003891","21","21","21","0.01818007230758667","0.01741970330476761","0.01887381263077259","21","21","21"
"11","0.014727042615413665","0.014299631118774414","0.01529134251177311","23","23","23","0.017482443526387215","0.016931869089603424","0.018267998471856117","23","23","23"
"12","0.013362173363566399","0.012533779256045818","0.013803750276565552","25","25","25","0.016624127700924873","0.01581980660557747","0.017161794006824493","25","25","25"
"13","0.012674042955040932","0.012424971908330917","0.012874086387455463","27","27","27","0.01604516226798296","0.015580338425934315","0.01645384356379509","27","27","27"
"14","0.012163198739290237","0.01127581112086773","0.012762991711497307","29","29","29","0.015441685542464256","0.014568470418453217","0.01614563912153244","29","29","29"
"15","0.011548205837607383","0.011171395890414715","0.012167466804385185","31","31","31","0.01480569876730442","0.014526084996759892","0.015415312722325325","31","31","31"
"16","0.010921825654804707","0.010598348453640938","0.011232293210923672","33","33","33","0.014333797432482243","0.01392369344830513","0.014545791782438755","33","33","33"
"17","0.010621488466858864","0.010226630605757236","0.011319182813167572","35","35","35","0.013952092826366424","0.013583525083959103","0.014287932775914669","35","35","35"
"18","0.010194997303187847","0.010000839829444885","0.01034761592745781","37","37","37","0.013520205765962601","0.013187657110393047","0.013825245201587677","37","37","37"
"19","0.010067659988999366","0.00973146315664053","0.010253987275063992","39","39","39","0.01323414035141468","0.012931951321661472","0.013406610116362572","39","39","39"
"20","0.009942458756268025","0.009538174606859684","0.010449047200381756","41","41","41","0.01285226847976446","0.01245725154876709","0.013510466553270817","41","41","41"
"21","0.009793972037732602","0.009499442763626575","0.010224140249192715","43","43","43","0.012601577118039132","0.012421131134033203","0.01285503152757883","43","43","43"
"22","0.009539805166423321","0.009405518881976604","0.009858913719654083","45","45","45","0.012569298222661018","0.012201854959130287","0.012980355881154537","45","45","45"
"23","0.009482728317379951","0.009365083649754524","0.009622309356927872","47","47","47","0.01226226557046175","0.012141414918005466","0.012404375709593296","47","47","47"
"24","0.009302305243909358","0.009121465496718884","0.009388548322021961","49","49","49","0.01209336705505848","0.01168048195540905","0.012546863406896591","49","49","49"
